,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent,User_country
0,YES,YES,YES,13,Circus Circus Hotel & Casino Las Vegas,3,9,4,11,3773,Dec-Feb,NO,January,Thursday,5,NO,NO,Friends,North America,USA
1,YES,YES,YES,75,Circus Circus Hotel & Casino Las Vegas,3,3,21,119,3773,Dec-Feb,NO,January,Friday,3,NO,NO,Business,North America,USA
2,YES,YES,YES,25,Circus Circus Hotel & Casino Las Vegas,3,2,9,36,3773,Mar-May,NO,February,Saturday,5,NO,NO,Families,North America,USA
3,YES,YES,YES,14,Circus Circus Hotel & Casino Las Vegas,3,6,7,14,3773,Mar-May,NO,February,Friday,4,NO,NO,Friends,Europe,UK
4,YES,YES,YES,2,Circus Circus Hotel & Casino Las Vegas,3,7,5,5,3773,Mar-May,NO,March,Tuesday,4,NO,NO,Solo,North America,Canada
5,YES,YES,YES,27,Circus Circus Hotel & Casino Las Vegas,3,2,8,31,3773,Mar-May,NO,March,Tuesday,3,NO,NO,Couples,North America,Canada
6,YES,YES,YES,46,Circus Circus Hotel & Casino Las Vegas,3,4,12,45,3773,Mar-May,NO,April,Friday,4,NO,NO,Couples,Europe,UK
7,YES,YES,YES,4,Circus Circus Hotel & Casino Las Vegas,3,1,1,2,3773,Mar-May,NO,April,Tuesday,4,NO,NO,Families,North America,USA
8,YES,YES,YES,8,Circus Circus Hotel & Casino Las Vegas,3,3,3,24,3773,Mar-May,NO,May,Saturday,4,NO,NO,Friends,Asia,India
9,YES,YES,YES,11,Circus Circus Hotel & Casino Las Vegas,3,5,7,12,3773,Mar-May,NO,May,Tuesday,3,NO,NO,Families,North America,Canada
10,YES,YES,YES,58,Circus Circus Hotel & Casino Las Vegas,3,9,24,102,3773,Jun-Aug,NO,June,Friday,2,NO,NO,Families,North America,USA
11,YES,YES,YES,24,Circus Circus Hotel & Casino Las Vegas,3,4,9,20,3773,Jun-Aug,NO,June,Saturday,3,NO,NO,Friends,Oceania,Australia
12,YES,YES,YES,9,Circus Circus Hotel & Casino Las Vegas,3,1,6,7,3773,Jun-Aug,NO,July,Wednesday,2,NO,NO,Friends,North America,USA
13,YES,YES,YES,13,Circus Circus Hotel & Casino Las Vegas,3,1,5,22,3773,Jun-Aug,NO,July,Thursday,3,NO,NO,Friends,North America,USA
14,YES,YES,YES,0,Circus Circus Hotel & Casino Las Vegas,3,1,3,3,3773,Jun-Aug,NO,August,Sunday,3,NO,NO,Friends,Europe,UK
15,YES,YES,YES,33,Circus Circus Hotel & Casino Las Vegas,3,2,17,146,3773,Jun-Aug,NO,August,Saturday,4,NO,NO,Families,Oceania,New Zeland
16,YES,YES,YES,9,Circus Circus Hotel & Casino Las Vegas,3,4,8,8,3773,Sep-Nov,NO,September,Wednesday,1,NO,NO,Families,North America,Canada
17,YES,YES,YES,1,Circus Circus Hotel & Casino Las Vegas,3,2,3,9,3773,Sep-Nov,NO,September,Saturday,4,NO,NO,Families,North America,USA
18,YES,YES,YES,19,Circus Circus Hotel & Casino Las Vegas,3,2,9,41,3773,Sep-Nov,NO,October,Tuesday,3,NO,NO,Couples,North America,Canada
19,YES,YES,YES,26,Circus Circus Hotel & Casino Las Vegas,3,10,7,8,3773,Sep-Nov,NO,October,Monday,2,NO,NO,Couples,North America,USA
20,YES,YES,YES,2,Circus Circus Hotel & Casino Las Vegas,3,7,5,10,3773,Sep-Nov,NO,November,Saturday,4,NO,NO,Couples,Europe,UK
21,YES,YES,YES,3,Circus Circus Hotel & Casino Las Vegas,3,3,3,4,3773,Sep-Nov,NO,November,Monday,1,NO,NO,Couples,Oceania,New Zeland
22,YES,YES,YES,19,Circus Circus Hotel & Casino Las Vegas,3,1,7,18,3773,Dec-Feb,NO,December,Saturday,4,NO,NO,Families,Europe,UK
23,YES,YES,YES,3,Circus Circus Hotel & Casino Las Vegas,3,5,4,4,3773,Dec-Feb,NO,December,Sunday,2,NO,NO,Couples,North America,USA
24,YES,YES,YES,15,Excalibur Hotel & Casino,3,3,11,29,3981,Dec-Feb,YES,January,Monday,4,YES,NO,Couples,Europe,Ireland
25,YES,YES,YES,52,Excalibur Hotel & Casino,3,11,42,114,3981,Dec-Feb,YES,January,Saturday,4,YES,NO,Business,North America,USA
26,YES,YES,YES,17,Excalibur Hotel & Casino,3,8,12,30,3981,Dec-Feb,YES,February,Friday,5,YES,NO,Couples,North America,Canada
27,YES,YES,YES,36,Excalibur Hotel & Casino,3,3,18,87,3981,Dec-Feb,YES,February,Thursday,3,YES,NO,Business,Europe,UK
28,YES,YES,YES,28,Excalibur Hotel & Casino,3,1,10,26,3981,Mar-May,YES,March,Wednesday,5,YES,NO,Solo,North America,USA
29,YES,YES,YES,9,Excalibur Hotel & Casino,3,8,7,8,3981,Mar-May,YES,March,Wednesday,5,YES,NO,Couples,Europe,Ireland
30,YES,YES,YES,13,Excalibur Hotel & Casino,3,7,8,11,3981,Mar-May,YES,April,Friday,5,YES,NO,Couples,North America,Canada
31,YES,YES,YES,2,Excalibur Hotel & Casino,3,1,3,4,3981,Mar-May,YES,April,Friday,3,YES,NO,Couples,Oceania,Australia
32,YES,YES,YES,7,Excalibur Hotel & Casino,3,1,8,56,3981,Mar-May,YES,May,Tuesday,3,YES,NO,Solo,North America,Canada
33,YES,YES,YES,8,Excalibur Hotel & Casino,3,4,12,13,3981,Mar-May,YES,May,Wednesday,3,YES,NO,Friends,Africa,Egypt
34,YES,YES,YES,15,Excalibur Hotel & Casino,3,1,9,58,3981,Jun-Aug,YES,June,Saturday,4,YES,NO,Couples,Oceania,Australia
35,YES,YES,YES,4,Excalibur Hotel & Casino,3,6,7,20,3981,Jun-Aug,YES,June,Saturday,3,YES,NO,Couples,Europe,Finland
36,YES,YES,YES,24,Excalibur Hotel & Casino,3,6,27,70,3981,Jun-Aug,YES,July,Friday,4,YES,NO,Friends,North America,USA
37,YES,YES,YES,7,Excalibur Hotel & Casino,3,1,3,6,3981,Jun-Aug,YES,July,Thursday,4,YES,NO,Friends,Africa,Kenya
38,YES,YES,YES,299,Excalibur Hotel & Casino,3,10,263,290,3981,Jun-Aug,YES,August,Monday,4,YES,NO,Couples,North America,USA
39,YES,YES,YES,9,Excalibur Hotel & Casino,3,2,6,24,3981,Jun-Aug,YES,August,Wednesday,2,YES,NO,Families,North America,USA
40,YES,YES,YES,21,Excalibur Hotel & Casino,3,2,8,29,3981,Sep-Nov,YES,September,Wednesday,3,YES,NO,Business,Europe,Jordan
41,YES,YES,YES,59,Excalibur Hotel & Casino,3,8,5,20,3981,Sep-Nov,YES,September,Saturday,3,YES,NO,Couples,North America,Canada
42,YES,YES,YES,3,Excalibur Hotel & Casino,3,4,3,3,3981,Sep-Nov,YES,October,Saturday,3,YES,NO,Families,Europe,Netherlands
43,YES,YES,YES,27,Excalibur Hotel & Casino,3,5,6,47,3981,Sep-Nov,YES,October,Monday,4,YES,NO,Friends,Europe,Ireland
44,YES,YES,YES,19,Excalibur Hotel & Casino,3,6,8,35,3981,Sep-Nov,YES,November,Sunday,4,YES,NO,Families,North America,USA
45,YES,YES,YES,4,Excalibur Hotel & Casino,3,1,0,6,3981,Sep-Nov,YES,November,Sunday,4,YES,NO,Friends,Europe,UK
46,YES,YES,YES,54,Excalibur Hotel & Casino,3,7,47,74,3981,Dec-Feb,YES,December,Wednesday,4,YES,NO,Couples,Europe,UK
47,YES,YES,YES,30,Excalibur Hotel & Casino,3,4,8,34,3981,Dec-Feb,YES,December,Tuesday,3,YES,NO,Solo,Asia,Syria
48,YES,NO,YES,340,Monte Carlo Resort&Casino,4,3,43,576,3003,Dec-Feb,YES,January,Monday,3,YES,NO,Couples,Europe,UK
49,YES,NO,YES,11,Monte Carlo Resort&Casino,4,5,8,20,3003,Dec-Feb,YES,January,Saturday,4,YES,NO,Solo,North America,USA
50,YES,NO,YES,132,Monte Carlo Resort&Casino,4,3,32,418,3003,Dec-Feb,YES,February,Tuesday,2,YES,NO,Couples,North America,USA
51,YES,NO,YES,22,Monte Carlo Resort&Casino,4,2,13,73,3003,Dec-Feb,YES,February,Tuesday,4,YES,NO,Couples,North America,USA
52,YES,NO,YES,32,Monte Carlo Resort&Casino,4,2,10,30,3003,Mar-May,YES,March,Wednesday,3,YES,NO,Couples,North America,Canada
53,YES,NO,YES,17,Monte Carlo Resort&Casino,4,2,15,63,3003,Mar-May,YES,March,Tuesday,4,YES,NO,Business,North America,USA
54,YES,NO,YES,13,Monte Carlo Resort&Casino,4,5,10,24,3003,Mar-May,YES,April,Wednesday,5,YES,NO,Couples,Europe,Scotland
55,YES,NO,YES,16,Monte Carlo Resort&Casino,4,5,18,54,3003,Mar-May,YES,April,Tuesday,2,YES,NO,Business,Africa,South Africa
56,YES,NO,YES,11,Monte Carlo Resort&Casino,4,2,7,20,3003,Mar-May,YES,May,Friday,4,YES,NO,Couples,Oceania,Australia
57,YES,NO,YES,24,Monte Carlo Resort&Casino,4,3,7,41,3003,Mar-May,YES,May,Monday,4,YES,NO,Couples,Europe,UK
58,YES,NO,YES,7,Monte Carlo Resort&Casino,4,9,5,7,3003,Jun-Aug,YES,June,Tuesday,4,YES,NO,Couples,Europe,Ireland
59,YES,NO,YES,15,Monte Carlo Resort&Casino,4,1,9,13,3003,Jun-Aug,YES,June,Monday,4,YES,NO,Friends,North America,Canada
60,YES,NO,YES,4,Monte Carlo Resort&Casino,4,1,5,10,3003,Jun-Aug,YES,July,Friday,4,YES,NO,Families,Europe,UK
61,YES,NO,YES,19,Monte Carlo Resort&Casino,4,7,6,9,3003,Jun-Aug,YES,July,Wednesday,3,YES,NO,Couples,Oceania,New Zeland
62,YES,NO,YES,36,Monte Carlo Resort&Casino,4,5,19,36,3003,Jun-Aug,YES,August,Thursday,2,YES,NO,Solo,Europe,Swiss
63,YES,NO,YES,19,Monte Carlo Resort&Casino,4,5,12,33,3003,Jun-Aug,YES,August,Saturday,3,YES,NO,Families,Europe,UK
64,YES,NO,YES,142,Monte Carlo Resort&Casino,4,8,126,156,3003,Sep-Nov,YES,September,Friday,3,YES,NO,Friends,Asia,United Arab Emirates
65,YES,NO,YES,16,Monte Carlo Resort&Casino,4,5,17,19,3003,Sep-Nov,YES,September,Wednesday,4,YES,NO,Couples,Europe,Ireland
66,YES,NO,YES,11,Monte Carlo Resort&Casino,4,1,17,23,3003,Sep-Nov,YES,October,Friday,3,YES,NO,Families,North America,USA
67,YES,NO,YES,3,Monte Carlo Resort&Casino,4,1,3,13,3003,Sep-Nov,YES,October,Sunday,2,YES,NO,Couples,North America,USA
68,YES,NO,YES,8,Monte Carlo Resort&Casino,4,8,5,8,3003,Sep-Nov,YES,November,Friday,4,YES,NO,Couples,Europe,Hungary
69,YES,NO,YES,2,Monte Carlo Resort&Casino,4,10,0,1,3003,Sep-Nov,YES,November,Wednesday,1,YES,NO,Business,Asia,China
70,YES,NO,YES,6,Monte Carlo Resort&Casino,4,1,18,21,3003,Dec-Feb,YES,December,Sunday,2,YES,NO,Business,Europe,Greece
71,YES,NO,YES,36,Monte Carlo Resort&Casino,4,3,14,56,3003,Dec-Feb,YES,December,Monday,5,YES,NO,Couples,North America,Mexico
72,YES,YES,YES,14,Treasure Island- TI Hotel & Casino,4,6,11,29,2884,Dec-Feb,YES,January,Sunday,3,YES,YES,Business,Europe,Croatia
73,YES,YES,YES,8,Treasure Island- TI Hotel & Casino,4,1,5,11,2884,Dec-Feb,YES,January,Thursday,4,YES,YES,Couples,Oceania,Australia
74,YES,YES,YES,167,Treasure Island- TI Hotel & Casino,4,9,12,19,2884,Dec-Feb,YES,February,Monday,4,YES,YES,Friends,North America,Canada
75,YES,YES,YES,16,Treasure Island- TI Hotel & Casino,4,10,9,17,2884,Dec-Feb,YES,February,Monday,5,YES,YES,Solo,North America,USA
76,YES,YES,YES,20,Treasure Island- TI Hotel & Casino,4,1,8,43,2884,Mar-May,YES,March,Friday,4,YES,YES,Couples,North America,USA
77,YES,YES,YES,3,Treasure Island- TI Hotel & Casino,4,2,8,12,2884,Mar-May,YES,March,Saturday,4,YES,YES,Friends,North America,Canada
78,YES,YES,YES,7,Treasure Island- TI Hotel & Casino,4,9,14,15,2884,Mar-May,YES,April,Tuesday,4,YES,YES,Friends,North America,USA
79,YES,YES,YES,16,Treasure Island- TI Hotel & Casino,4,6,13,16,2884,Mar-May,YES,April,Wednesday,3,YES,YES,Families,Oceania,Australia
80,YES,YES,YES,25,Treasure Island- TI Hotel & Casino,4,1,4,12,2884,Mar-May,YES,May,Friday,3,YES,YES,Families,Asia,India
81,YES,YES,YES,5,Treasure Island- TI Hotel & Casino,4,3,0,10,2884,Mar-May,YES,May,Sunday,4,YES,YES,Friends,Europe,Germany
82,YES,YES,YES,16,Treasure Island- TI Hotel & Casino,4,6,17,27,2884,Jun-Aug,YES,June,Thursday,3,YES,YES,Families,North America,USA
83,YES,YES,YES,5,Treasure Island- TI Hotel & Casino,4,2,5,6,2884,Jun-Aug,YES,June,Tuesday,4,YES,YES,Couples,North America,Canada
84,YES,YES,YES,14,Treasure Island- TI Hotel & Casino,4,3,20,21,2884,Jun-Aug,YES,July,Wednesday,5,YES,YES,Couples,Oceania,Australia
85,YES,YES,YES,27,Treasure Island- TI Hotel & Casino,4,5,14,43,2884,Jun-Aug,YES,July,Thursday,4,YES,YES,Solo,Asia,Malaysia
86,YES,YES,YES,37,Treasure Island- TI Hotel & Casino,4,8,31,97,2884,Jun-Aug,YES,August,Saturday,4,YES,YES,Couples,South America,Mexico
87,YES,YES,YES,4,Treasure Island- TI Hotel & Casino,4,5,3,7,2884,Jun-Aug,YES,August,Friday,4,YES,YES,Couples,Europe,UK
88,YES,YES,YES,6,Treasure Island- TI Hotel & Casino,4,10,9,11,2884,Sep-Nov,YES,September,Friday,3,YES,YES,Couples,Europe,UK
89,YES,YES,YES,30,Treasure Island- TI Hotel & Casino,4,2,11,78,2884,Sep-Nov,YES,September,Tuesday,4,YES,YES,Business,North America,USA
90,YES,YES,YES,4,Treasure Island- TI Hotel & Casino,4,5,7,12,2884,Sep-Nov,YES,October,Monday,5,YES,YES,Families,Oceania,Australia
91,YES,YES,YES,5,Treasure Island- TI Hotel & Casino,4,2,11,27,2884,Sep-Nov,YES,October,Monday,3,YES,YES,Couples,North America,USA
92,YES,YES,YES,1,Treasure Island- TI Hotel & Casino,4,7,3,4,2884,Sep-Nov,YES,November,Friday,5,YES,YES,Couples,Asia,Thailand
93,YES,YES,YES,8,Treasure Island- TI Hotel & Casino,4,2,9,27,2884,Sep-Nov,YES,November,Friday,4,YES,YES,Families,Oceania,Australia
94,YES,YES,YES,7,Treasure Island- TI Hotel & Casino,4,4,3,12,2884,Dec-Feb,YES,December,Saturday,4,YES,YES,Friends,North America,Canada
95,YES,YES,YES,48,Treasure Island- TI Hotel & Casino,4,12,16,21,2884,Dec-Feb,YES,December,Thursday,5,YES,YES,Couples,North America,Canada
96,YES,YES,YES,30,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,8,17,34,1467,Dec-Feb,YES,January,Sunday,4,YES,YES,Families,Europe,UK
97,YES,YES,YES,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,2,6,12,1467,Dec-Feb,YES,January,Sunday,5,YES,YES,Friends,North America,USA
98,YES,YES,YES,51,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,5,39,79,1467,Dec-Feb,YES,February,Wednesday,3,YES,YES,Couples,Asia,Phillippines
99,YES,YES,YES,16,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,2,10,18,1467,Dec-Feb,YES,February,Thursday,3,YES,YES,Business,Asia,Israel
100,YES,YES,YES,8,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,3,13,1467,Mar-May,YES,March,Wednesday,4,YES,YES,Business,North America,Canada
101,YES,YES,YES,9,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,4,14,1467,Mar-May,YES,March,Friday,4,YES,YES,Couples,Europe,UK
102,YES,YES,YES,28,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,9,19,1467,Mar-May,YES,April,Friday,5,YES,YES,Couples,Europe,Ireland
103,YES,YES,YES,103,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,15,88,1467,Mar-May,YES,April,Monday,4,YES,YES,Business,Asia,India 
104,YES,YES,YES,0,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,4,8,1467,Mar-May,YES,May,Tuesday,4,YES,YES,Couples,Oceania,New Zeland
105,YES,YES,YES,31,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,15,39,1467,Mar-May,YES,May,Sunday,3,YES,YES,Friends,Europe,Belgium
106,YES,YES,YES,61,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,41,130,1467,Jun-Aug,YES,June,Tuesday,4,YES,YES,Business,Europe,UK
107,YES,YES,YES,105,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,7,78,79,1467,Jun-Aug,YES,June,Wednesday,4,YES,YES,Friends,Oceania,Australia
108,YES,YES,YES,16,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,10,10,13,1467,Jun-Aug,YES,July,Wednesday,4,YES,YES,Solo,Europe,UK
109,YES,YES,YES,17,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,6,18,1467,Jun-Aug,YES,July,Monday,4,YES,YES,Couples,Europe,UK
110,YES,YES,YES,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,7,8,1467,Jun-Aug,YES,August,Saturday,5,YES,YES,Friends,Oceania,New Zeland
111,YES,YES,YES,6,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,10,4,15,1467,Jun-Aug,YES,August,Friday,5,YES,YES,Couples,Oceania,Australia
112,YES,YES,YES,9,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,0,27,1467,Sep-Nov,YES,September,Tuesday,1,YES,YES,Couples,North America,Canada
113,YES,YES,YES,2,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,5,3,5,1467,Sep-Nov,YES,September,Wednesday,5,YES,YES,Couples,Oceania,Australia
114,YES,YES,YES,6,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,6,22,1467,Sep-Nov,YES,October,Tuesday,5,YES,YES,Friends,Europe,UK
115,YES,YES,YES,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,3,5,1467,Sep-Nov,YES,October,Thursday,2,YES,YES,Friends,North America,USA
116,YES,YES,YES,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,8,31,1467,Sep-Nov,YES,November,Sunday,4,YES,YES,Solo,Asia,India
117,YES,YES,YES,8,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,7,8,33,1467,Sep-Nov,YES,November,Saturday,5,YES,YES,Friends,Europe,Netherlands
118,YES,YES,YES,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,4,6,10,1467,Dec-Feb,YES,December,Saturday,5,YES,YES,Couples,Europe,UK
119,YES,YES,YES,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,4,3,12,1467,Dec-Feb,YES,December,Thursday,5,YES,YES,Families,Europe,UK
120,YES,YES,YES,24,Caesars Palace,5,7,14,50,3348,Dec-Feb,YES,January,Wednesday,5,YES,NO,Friends,North America,USA
121,YES,YES,YES,85,Caesars Palace,5,3,33,161,3348,Dec-Feb,YES,January,Friday,4,YES,NO,Couples,North America,USA
122,YES,YES,YES,81,Caesars Palace,5,10,38,153,3348,Dec-Feb,YES,February,Tuesday,5,YES,NO,Families,North America,Puerto Rico
123,YES,YES,YES,12,Caesars Palace,5,2,3,14,3348,Dec-Feb,YES,February,Thursday,5,YES,NO,Families,North America,Canada
124,YES,YES,YES,10,Caesars Palace,5,4,12,31,3348,Mar-May,YES,March,Friday,5,YES,NO,Families,North America,USA
125,YES,YES,YES,29,Caesars Palace,5,9,10,15,3348,Mar-May,YES,March,Friday,3,YES,NO,Families,North America,USA
126,YES,YES,YES,4,Caesars Palace,5,3,5,5,3348,Mar-May,YES,April,Thursday,5,YES,NO,Couples,North America,Canada
127,YES,YES,YES,21,Caesars Palace,5,2,4,46,3348,Mar-May,YES,April,Saturday,4,YES,NO,Couples,North America,USA
128,YES,YES,YES,39,Caesars Palace,5,4,6,15,3348,Mar-May,YES,May,Sunday,1,YES,NO,Couples,Europe,UK
129,YES,YES,YES,35,Caesars Palace,5,5,27,63,3348,Mar-May,YES,May,Wednesday,4,YES,NO,Couples,Europe,UK
130,YES,YES,YES,13,Caesars Palace,5,2,15,17,3348,Jun-Aug,YES,June,Sunday,4,YES,NO,Couples,North America,USA
131,YES,YES,YES,36,Caesars Palace,5,9,22,25,3348,Jun-Aug,YES,June,Tuesday,1,YES,NO,Solo,North America,USA
132,YES,YES,YES,4,Caesars Palace,5,1,8,14,3348,Jun-Aug,YES,July,Monday,5,YES,NO,Couples,North America,USA
133,YES,YES,YES,37,Caesars Palace,5,6,56,59,3348,Jun-Aug,YES,July,Tuesday,3,YES,NO,Families,Europe,UK
134,YES,YES,YES,17,Caesars Palace,5,3,10,11,3348,Jun-Aug,YES,August,Friday,5,YES,NO,Families,Europe,UK
135,YES,YES,YES,31,Caesars Palace,5,5,18,54,3348,Jun-Aug,YES,August,Wednesday,4,YES,NO,Friends,North America,Canada
136,YES,YES,YES,4,Caesars Palace,5,3,3,4,3348,Sep-Nov,YES,September,Monday,5,YES,NO,Couples,North America,USA
137,YES,YES,YES,7,Caesars Palace,5,3,7,10,3348,Sep-Nov,YES,September,Tuesday,5,YES,NO,Couples,North America,USA
138,YES,YES,YES,7,Caesars Palace,5,11,6,14,3348,Sep-Nov,YES,October,Sunday,5,YES,NO,Business,North America,USA
139,YES,YES,YES,16,Caesars Palace,5,2,12,39,3348,Sep-Nov,YES,October,Thursday,5,YES,NO,Friends,North America,USA
140,YES,YES,YES,43,Caesars Palace,5,4,24,35,3348,Sep-Nov,YES,November,Sunday,5,YES,NO,Couples,Oceania,Australia
141,YES,YES,YES,9,Caesars Palace,5,1,6,6,3348,Sep-Nov,YES,November,Sunday,3,YES,NO,Families,Oceania,Australia
142,YES,YES,YES,2,Caesars Palace,5,3,7,23,3348,Dec-Feb,YES,December,Friday,4,YES,NO,Families,North America,USA
143,YES,YES,YES,67,Caesars Palace,5,13,21,48,3348,Dec-Feb,YES,December,Sunday,4,YES,NO,Couples,North America,USA
144,YES,YES,YES,14,The Cosmopolitan Las Vegas,5,3,9,16,2959,Dec-Feb,YES,January,Thursday,4,YES,NO,Friends,Oceania,Australia
145,YES,YES,YES,3,The Cosmopolitan Las Vegas,5,1,6,12,2959,Dec-Feb,YES,January,Thursday,5,YES,NO,Friends,Oceania,Australia
146,YES,YES,YES,15,The Cosmopolitan Las Vegas,5,2,9,36,2959,Dec-Feb,YES,February,Saturday,4,YES,NO,Friends,Europe,Switzerland
147,YES,YES,YES,80,The Cosmopolitan Las Vegas,5,8,40,127,2959,Dec-Feb,YES,February,Wednesday,5,YES,NO,Couples,Europe,UK
148,YES,YES,YES,1,The Cosmopolitan Las Vegas,5,1,5,12,2959,Mar-May,YES,March,Monday,5,YES,NO,Couples,North America,USA
149,YES,YES,YES,74,The Cosmopolitan Las Vegas,5,10,17,17,2959,Mar-May,YES,March,Saturday,5,YES,NO,Couples,North America,USA
150,YES,YES,YES,21,The Cosmopolitan Las Vegas,5,7,7,23,2959,Mar-May,YES,April,Thursday,4,YES,NO,Friends,Europe,Ireland
151,YES,YES,YES,45,The Cosmopolitan Las Vegas,5,2,17,102,2959,Mar-May,YES,April,Monday,5,YES,NO,Business,North America,USA
152,YES,YES,YES,55,The Cosmopolitan Las Vegas,5,8,15,113,2959,Mar-May,YES,May,Thursday,5,YES,NO,Families,Europe,Germany
153,YES,YES,YES,10,The Cosmopolitan Las Vegas,5,1,8,30,2959,Mar-May,YES,May,Wednesday,2,YES,NO,Business,North America,USA
154,YES,YES,YES,24,The Cosmopolitan Las Vegas,5,7,24,24,2959,Jun-Aug,YES,June,Wednesday,2,YES,NO,Couples,Europe,Germany
155,YES,YES,YES,18,The Cosmopolitan Las Vegas,5,3,5,15,2959,Jun-Aug,YES,June,Wednesday,5,YES,NO,Friends,Europe,Ireland
156,YES,YES,YES,14,The Cosmopolitan Las Vegas,5,1,4,6,2959,Jun-Aug,YES,July,Wednesday,1,YES,NO,Business,North America,USA
157,YES,YES,YES,0,The Cosmopolitan Las Vegas,5,7,3,3,2959,Jun-Aug,YES,July,Tuesday,4,YES,NO,Friends,Oceania,Australia
158,YES,YES,YES,56,The Cosmopolitan Las Vegas,5,4,10,41,2959,Jun-Aug,YES,August,Saturday,5,YES,NO,Families,North America,Canada
159,YES,YES,YES,56,The Cosmopolitan Las Vegas,5,10,8,19,2959,Jun-Aug,YES,August,Sunday,4,YES,NO,Couples,North America,USA
160,YES,YES,YES,10,The Cosmopolitan Las Vegas,5,1,9,18,2959,Sep-Nov,YES,September,Wednesday,5,YES,NO,Couples,Europe,UK
161,YES,YES,YES,7,The Cosmopolitan Las Vegas,5,7,6,6,2959,Sep-Nov,YES,September,Tuesday,5,YES,NO,Couples,Europe,Norway
162,YES,YES,YES,98,The Cosmopolitan Las Vegas,5,7,5,103,2959,Sep-Nov,YES,October,Monday,5,YES,NO,Couples,North America,USA
